Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,16.527500,16.635000,16.514999,16.545000,13.904070,2059600
2011-01-04,16.610001,16.610001,16.412500,16.495001,13.862053,4772800
2011-01-05,16.445000,16.594999,16.440001,16.587500,13.939784,4100400
2011-01-06,16.602501,16.610001,16.514999,16.562500,13.918777,1365200
2011-01-07,16.594999,16.605000,16.420000,16.532499,13.893563,2879600
2011-01-10,16.459999,16.557501,16.424999,16.527500,13.889366,4320400
2011-01-11,16.594999,16.620001,16.514999,16.575001,13.929280,4483200
2011-01-12,16.680000,16.717501,16.635000,16.705000,14.038528,1560400
2011-01-13,16.687500,16.722500,16.642500,16.684999,14.021723,2040800
2011-01-14,16.672501,16.775000,16.642500,16.767500,14.091051,2780800
2011-01-18,16.750000,16.844999,16.742500,16.837500,14.149879,2282400
2011-01-19,16.837500,16.847500,16.657499,16.702499,14.036429,2812800
2011-01-20,16.650000,16.672501,16.522499,16.642500,13.986008,3498400
2011-01-21,16.742500,16.747499,16.582500,16.600000,13.950294,3534000
2011-01-24,16.587500,16.740000,16.575001,16.732500,14.061642,1686800
2011-01-25,16.690001,16.742500,16.610001,16.740000,14.067944,3257200
2011-01-26,16.785000,16.875000,16.740000,16.827499,14.141476,3624000
2011-01-27,16.832500,16.887501,16.787500,16.847500,14.158286,2134000
2011-01-28,16.860001,16.867500,16.495001,16.525000,13.887265,4930800
2011-01-31,16.565001,16.662500,16.512501,16.652500,13.994410,3083200
2011-02-01,16.757500,16.910000,16.740000,16.882500,14.187698,7359600
2011-02-02,16.847500,16.897499,16.820000,16.862499,14.170889,1686000
2011-02-03,16.847500,16.917500,16.752501,16.895000,14.198205,2679600
2011-02-04,16.917500,16.977501,16.855000,16.975000,14.265431,2602400
2011-02-07,17.017500,17.132500,17.007500,17.057501,14.334765,2141600
2011-02-08,17.070000,17.155001,17.040001,17.155001,14.416704,2989200
2011-02-09,17.102501,17.172501,17.062500,17.129999,14.395694,8601200
2011-02-10,17.030001,17.165001,17.017500,17.150000,14.412497,4258000
2011-02-11,17.097500,17.270000,17.094999,17.252501,14.498643,3391200
2011-02-14,17.254999,17.292500,17.235001,17.285000,14.525950,1932400
2011-02-15,17.235001,17.260000,17.182501,17.240000,14.488133,6263200
2011-02-16,17.287500,17.365000,17.254999,17.337500,14.570070,2597600
2011-02-17,17.292500,17.395000,17.260000,17.379999,14.605783,3284800
2011-02-18,17.385000,17.420000,17.330000,17.385000,14.609987,1935600
2011-02-22,17.180000,17.285000,16.977501,17.017500,14.301150,6210400
2011-02-23,17.002501,17.035000,16.777500,16.892500,14.196101,5936800
2011-02-24,16.889999,16.965000,16.740000,16.900000,14.202407,6247600
2011-02-25,16.990000,17.117500,16.985001,17.105000,14.374686,4172800
2011-02-28,17.170000,17.209999,17.087500,17.192499,14.448217,1420800
2011-03-01,17.242500,17.252501,16.897499,16.907499,14.208708,3085600
2011-03-02,16.875000,17.040001,16.875000,16.959999,14.252831,2044000
2011-03-03,17.125000,17.292500,17.120001,17.267500,14.511246,1896400
2011-03-04,17.264999,17.272499,17.055000,17.165001,14.425104,2952000
2011-03-07,17.232500,17.247499,16.902500,17.004999,14.290646,1641600
2011-03-08,17.032499,17.174999,16.937500,17.115000,14.383086,2543600
2011-03-09,17.062500,17.117500,16.977501,17.065001,14.341070,3058000
2011-03-10,16.885000,16.902500,16.745001,16.762501,14.086855,2912400
2011-03-11,16.695000,16.937500,16.695000,16.885000,14.189798,3011200
2011-03-14,16.770000,16.852501,16.665001,16.785000,14.105757,1943600
2011-03-15,16.350000,16.684999,16.320000,16.602501,13.952392,7535200
2011-03-16,16.547501,16.582500,16.157499,16.275000,13.677167,10317600
2011-03-17,16.500000,16.559999,16.402500,16.452499,13.826333,3234000
2011-03-18,16.645000,16.660000,16.457500,16.482500,13.851547,2204800
2011-03-21,16.680000,16.815001,16.672501,16.760000,14.084754,1480800
2011-03-22,16.780001,16.785000,16.700001,16.719999,14.051139,1056000
2011-03-23,16.665001,16.840000,16.612499,16.799999,14.118363,2436000
2011-03-24,16.910000,17.007500,16.817499,16.982500,14.271736,2008400
2011-03-25,16.992500,17.057501,16.945000,16.982500,14.321702,1174000
2011-03-28,17.027500,17.057501,16.934999,16.934999,14.281648,2040800
2011-03-29,16.907499,17.075001,16.875000,17.070000,14.395490,1537600
2011-03-30,17.157499,17.217501,17.122499,17.172501,14.481935,827600
2011-03-31,17.152500,17.222500,17.152500,17.177500,14.486156,1662800
2011-04-01,17.260000,17.317499,17.187500,17.225000,14.526211,1878400
2011-04-04,17.264999,17.290001,17.182501,17.235001,14.534645,1906000
2011-04-05,17.182501,17.305000,17.182501,17.215000,14.517776,1859600
2011-04-06,17.295000,17.327499,17.182501,17.237499,14.536751,1438400
2011-04-07,17.215000,17.290001,17.117500,17.215000,14.517776,1138800
2011-04-08,17.290001,17.299999,17.082500,17.157499,14.469286,2079200
2011-04-11,17.174999,17.230000,17.070000,17.115000,14.433443,2871200
2011-04-12,17.030001,17.059999,16.937500,16.992500,14.330139,1346400
2011-04-13,17.052500,17.100000,16.955000,17.032499,14.363873,1241600
2011-04-14,16.930000,17.075001,16.887501,17.052500,14.380734,1790800
2011-04-15,17.062500,17.137501,16.997499,17.100000,14.420794,2421600
2011-04-18,16.920000,16.955000,16.775000,16.934999,14.281648,2592000
2011-04-19,16.957500,17.032499,16.910000,17.022499,14.355433,1906400
2011-04-20,17.250000,17.317499,17.230000,17.305000,14.593676,1500800
2011-04-21,17.405001,17.432501,17.362499,17.427500,14.696980,1374800
2011-04-25,17.405001,17.432501,17.342501,17.402500,14.675894,1271200
2011-04-26,17.467501,17.587500,17.432501,17.552500,14.802398,4000000
2011-04-27,17.594999,17.674999,17.495001,17.645000,14.880403,1721600
2011-04-28,17.625000,17.730000,17.622499,17.705000,14.931004,1575200
2011-04-29,17.705000,17.772499,17.690001,17.742500,14.962625,1260000
2011-05-02,17.832500,17.855000,17.702499,17.735001,14.956300,1633200
2011-05-03,17.715000,17.735001,17.584999,17.672501,14.903600,2378800
2011-05-04,17.655001,17.665001,17.475000,17.557501,14.806612,2159600
2011-05-05,17.467501,17.610001,17.362499,17.427500,14.696980,2375600
2011-05-06,17.610001,17.692499,17.440001,17.502501,14.760228,2819600
2011-05-09,17.497499,17.637501,17.487499,17.584999,14.829802,1294800
2011-05-10,17.650000,17.757500,17.625000,17.732500,14.954196,3509200
2011-05-11,17.712500,17.730000,17.472500,17.565001,14.812939,1842000
2011-05-12,17.525000,17.707500,17.445000,17.680000,14.909921,1708000
2011-05-13,17.697500,17.705000,17.497499,17.542500,14.793969,1588400
2011-05-16,17.480000,17.594999,17.370001,17.400000,14.673785,2604800
2011-05-17,17.322500,17.397499,17.232500,17.392500,14.667465,5353200
2011-05-18,17.397499,17.567499,17.360001,17.547501,14.798180,2554400
2011-05-19,17.622499,17.637501,17.497499,17.590000,14.834019,2926800
2011-05-20,17.547501,17.590000,17.434999,17.485001,14.745473,1791600
2011-05-23,17.257500,17.320000,17.205000,17.272499,14.566261,1676000
2011-05-24,17.342501,17.344999,17.235001,17.262501,14.557837,1937600
2011-05-25,17.212500,17.385000,17.190001,17.317499,14.604215,2633600
2011-05-26,17.280001,17.445000,17.264999,17.412500,14.684337,2321200
2011-05-27,17.445000,17.507500,17.430000,17.469999,14.732825,1520400
2011-05-31,17.637501,17.660000,17.520000,17.660000,14.893058,1358400
2011-06-01,17.620001,17.645000,17.282499,17.290001,14.581031,1724000
2011-06-02,17.312500,17.344999,17.182501,17.280001,14.572592,1935200
2011-06-03,17.062500,17.212500,17.062500,17.087500,14.410252,1762000
2011-06-06,17.062500,17.102501,16.920000,16.940001,14.285864,2572800
2011-06-07,17.027500,17.067499,16.920000,16.927500,14.275323,4600800
2011-06-08,16.889999,16.932501,16.812500,16.850000,14.209967,1407600
2011-06-09,16.882500,17.022499,16.844999,16.955000,14.298511,1081600
2011-06-10,16.875000,16.889999,16.692499,16.692499,14.077137,3580000
2011-06-13,16.754999,16.777500,16.620001,16.690001,14.075034,2384000
2011-06-14,16.850000,16.977501,16.834999,16.924999,14.273214,1602000
2011-06-15,16.780001,16.862499,16.594999,16.645000,14.037082,2519200
2011-06-16,16.639999,16.727501,16.510000,16.635000,14.028648,1992000
2011-06-17,16.787500,16.812500,16.620001,16.665001,14.053952,1730800
2011-06-20,16.607500,16.797501,16.607500,16.760000,14.134066,822400
2011-06-21,16.855000,17.042500,16.815001,17.010000,14.344894,2818400
2011-06-22,16.959999,17.055000,16.902500,16.910000,14.260564,1456000
2011-06-23,16.655001,16.852501,16.540001,16.847500,14.261197,2827200
2011-06-24,16.834999,16.844999,16.615000,16.642500,14.087670,1510400
2011-06-27,16.642500,16.877501,16.612499,16.815001,14.233691,1192800
2011-06-28,16.895000,17.072500,16.867500,17.070000,14.449546,1808000
2011-06-29,17.150000,17.215000,17.065001,17.197500,14.557469,3054000
2011-06-30,17.257500,17.395000,17.250000,17.370001,14.703485,1357200
2011-07-01,17.360001,17.650000,17.337500,17.632500,14.925694,3180400
2011-07-05,17.610001,17.700001,17.600000,17.657499,14.946856,3710800
2011-07-06,17.635000,17.752501,17.600000,17.727501,15.006107,2871600
2011-07-07,17.885000,17.959999,17.850000,17.917500,15.166941,2257200
2011-07-08,17.709999,17.822500,17.670000,17.822500,15.086528,3328800
2011-07-11,17.620001,17.687500,17.475000,17.520000,14.830460,1274000
2011-07-12,17.482500,17.580000,17.410000,17.417500,14.743691,2376000
2011-07-13,17.502501,17.662500,17.437500,17.482500,14.798714,1496000
2011-07-14,17.530001,17.592501,17.297501,17.342501,14.680207,6777200
2011-07-15,17.459999,17.500000,17.355000,17.497499,14.811412,1430400
