Date,Open,High,Low,Close,Adj Close,Volume
2014-06-12,100.059998,100.160004,99.440002,99.580002,79.789192,1432000
2014-06-13,99.790001,100.099998,99.650002,100.050003,80.165787,1089000
2014-06-16,100.029999,100.309998,99.800003,100.120003,80.221863,1242900
2014-06-17,99.959999,100.519997,99.820000,100.470001,80.502281,927200
2014-06-18,100.529999,101.279999,100.309998,101.209999,81.095215,1174700
2014-06-19,101.290001,101.440002,101.059998,101.440002,81.279518,818000
2014-06-20,101.769997,101.830002,101.559998,101.709999,81.495842,770700
2014-06-23,101.730003,101.870003,101.550003,101.730003,81.511894,1112900
2014-06-24,101.599998,101.989998,100.900002,100.940002,80.878899,1552400
2014-06-25,100.699997,101.360001,100.669998,101.290001,81.159348,1034700
2014-06-26,101.290001,101.290001,100.519997,101.169998,81.063179,848500
2014-06-27,100.940002,101.320000,100.870003,101.250000,81.127289,1313700
2014-06-30,101.250000,101.470001,101.160004,101.269997,81.143295,1419400
2014-07-01,101.550003,102.169998,101.470001,101.830002,81.592026,1241000
2014-07-02,101.220001,101.440002,101.190002,101.279999,81.569473,959000
2014-07-03,101.519997,101.800003,101.519997,101.750000,81.948021,1039500
2014-07-07,101.540001,101.580002,101.199997,101.360001,81.633896,930400
2014-07-08,101.209999,101.389999,100.629997,100.879997,81.247330,1303200
2014-07-09,101.099998,101.279999,100.879997,101.160004,81.472809,1085000
2014-07-10,100.169998,101.059998,100.169998,100.830002,81.207069,984300
2014-07-11,100.779999,100.910004,100.430000,100.790001,81.174835,1160300
2014-07-14,101.330002,101.459999,101.169998,101.239998,81.537231,1062600
2014-07-15,101.330002,101.610001,100.910004,101.279999,81.569473,1080700
2014-07-16,101.750000,101.959999,101.540001,101.900002,82.068810,634800
2014-07-17,101.660004,102.019997,100.720001,100.790001,81.174835,1306500
2014-07-18,101.059998,101.730003,100.919998,101.669998,81.883568,887000
2014-07-21,101.349998,101.570000,101.010002,101.489998,81.738594,1418900
2014-07-22,101.889999,102.080002,101.800003,101.930000,82.092957,1168500
2014-07-23,101.949997,102.120003,101.730003,101.989998,82.141266,1266300
2014-07-24,102.110001,102.250000,101.959999,102.050003,82.189590,1132600
2014-07-25,101.849998,101.919998,101.480003,101.620003,81.843300,1517400
2014-07-28,101.610001,101.800003,101.099998,101.660004,81.875504,1916100
2014-07-29,101.849998,101.930000,101.129997,101.150002,81.464760,1520300
2014-07-30,101.459999,101.580002,100.610001,101.000000,81.343948,2002300
2014-07-31,100.320000,100.480003,99.019997,99.029999,79.757347,3421700
2014-08-01,98.889999,99.400002,98.279999,98.820000,79.588196,3047900
2014-08-04,99.040001,99.589996,98.470001,99.389999,80.047264,1412700
2014-08-05,99.010002,99.279999,98.080002,98.430000,79.274101,2661400
2014-08-06,97.930000,98.849998,97.930000,98.480003,79.314384,1936200
2014-08-07,98.959999,99.019997,97.690002,97.949997,78.887558,2735500
2014-08-08,98.129997,99.150002,97.889999,99.089996,79.805664,2333600
2014-08-11,99.430000,99.750000,99.250000,99.309998,79.982849,2175300
2014-08-12,99.169998,99.510002,98.919998,99.220001,79.910370,2953300
2014-08-13,99.510002,99.900002,99.370003,99.839996,80.409698,852900
2014-08-14,99.949997,100.250000,99.860001,100.239998,80.731865,1411300
2014-08-15,100.510002,100.610001,99.440002,100.129997,80.643257,2323200
2014-08-18,100.639999,100.930000,100.510002,100.910004,81.271469,2351800
2014-08-19,101.190002,101.370003,101.010002,101.320000,81.601692,1298100
2014-08-20,101.150002,101.680000,101.099998,101.589996,81.819130,886900
2014-08-21,101.680000,102.190002,101.639999,102.070000,82.205727,828900
2014-08-22,101.930000,102.110001,101.550003,101.730003,81.931892,1051600
2014-08-25,102.199997,102.419998,102.070000,102.230003,82.334572,1173100
2014-08-26,102.309998,102.669998,102.139999,102.360001,82.439293,1096900
2014-08-27,102.389999,102.510002,102.209999,102.400002,82.471497,876300
2014-08-28,102.000000,102.360001,101.970001,102.320000,82.407066,715500
2014-08-29,102.449997,102.660004,102.209999,102.639999,82.664772,765000
2014-09-02,102.809998,102.809998,102.110001,102.480003,82.535934,1305900
2014-09-03,102.919998,103.019997,102.529999,102.669998,82.688972,1421900
2014-09-04,102.849998,103.150002,102.209999,102.529999,82.576187,822400
2014-09-05,102.500000,103.000000,102.120003,102.980003,82.938606,1119300
2014-09-08,102.910004,103.000000,102.400002,102.690002,82.705032,1033200
2014-09-09,102.540001,102.540001,101.800003,102.010002,82.157387,1247800
2014-09-10,102.050003,102.260002,101.660004,102.220001,82.326523,1239300
2014-09-11,101.849998,102.440002,101.739998,102.430000,82.495651,767000
2014-09-12,102.320000,102.339996,101.529999,101.809998,81.996315,1250700
2014-09-15,101.820000,102.059998,101.559998,101.919998,82.084923,1206300
2014-09-16,101.739998,102.820000,101.739998,102.639999,82.664772,1101800
2014-09-17,102.769997,103.239998,102.290001,102.699997,82.713120,1193200
2014-09-18,103.050003,103.250000,102.919998,103.169998,83.091629,759600
2014-09-19,103.510002,103.660004,102.879997,103.040001,82.986954,1202500
2014-09-22,102.860001,102.919998,102.120003,102.239998,82.342628,1306500
2014-09-23,101.910004,102.269997,101.510002,101.519997,81.762756,1650200
2014-09-24,101.150002,101.709999,100.730003,101.650002,82.253105,929100
2014-09-25,101.389999,101.470001,100.099998,100.139999,81.031273,1588400
2014-09-26,100.239998,101.000000,100.029999,100.760002,81.532951,1137400
2014-09-29,99.980003,100.629997,99.839996,100.419998,81.257820,1276400
2014-09-30,100.599998,100.779999,99.900002,100.089996,80.990791,1931700
2014-10-01,99.919998,100.000000,98.669998,98.870003,80.003601,3220500
2014-10-02,98.769997,99.199997,97.849998,98.870003,80.003601,2979000
2014-10-03,99.519997,100.040001,99.169998,99.870003,80.812775,2745100
2014-10-06,100.500000,100.510002,99.489998,99.790001,80.748024,3284500
2014-10-07,99.389999,99.540001,98.220001,98.239998,79.493828,2487500
2014-10-08,98.370003,99.919998,97.750000,99.800003,80.756126,2347700
2014-10-09,99.599998,99.720001,97.629997,97.680000,79.040672,3393400
