Date,Open,High,Low,Close,Adj Close,Volume
2011-01-11,65.820000,65.970001,65.570000,65.839996,51.925858,1090700
2011-01-12,66.260002,66.459999,66.089996,66.430000,52.391174,4015900
2011-01-13,66.440002,66.480003,66.129997,66.330002,52.312313,1468900
2011-01-14,66.250000,66.769997,66.169998,66.760002,52.651432,1292800
2011-01-18,66.739998,66.949997,66.629997,66.930000,52.785515,1288700
2011-01-19,66.889999,66.910004,65.989998,66.129997,52.154587,1566600
2011-01-20,65.949997,66.099998,65.470001,65.930000,51.996849,1857700
2011-01-21,66.300003,66.449997,65.949997,66.040001,52.083607,1342000
2011-01-24,66.000000,66.489998,65.940002,66.410004,52.375416,2149200
2011-01-25,66.230003,66.449997,65.910004,66.449997,52.406952,1157500
2011-01-26,66.589996,66.970001,66.480003,66.830002,52.706650,1396100
2011-01-27,66.860001,67.129997,66.720001,67.029999,52.864388,1096900
2011-01-28,67.110001,67.180000,65.720001,65.830002,51.917976,2088100
2011-01-31,65.919998,66.379997,65.830002,66.260002,52.257111,1255200
2011-02-01,66.720001,67.480003,66.690002,67.349998,53.116760,2355400
2011-02-02,67.199997,67.470001,67.180000,67.269997,53.053658,1688900
2011-02-03,67.209999,67.500000,66.760002,67.419998,53.171967,1807200
2011-02-04,67.500000,67.650002,67.169998,67.610001,53.321800,1344000
2011-02-07,67.809998,68.279999,67.760002,68.059998,53.676701,1359300
2011-02-08,68.160004,68.419998,67.940002,68.400002,53.944859,1621900
2011-02-09,68.230003,68.410004,67.910004,68.220001,53.802887,2110900
2011-02-10,67.879997,68.370003,67.730003,68.300003,53.865997,1904400
2011-02-11,68.089996,68.820000,68.029999,68.750000,54.220879,1559600
2011-02-14,68.760002,68.980003,68.669998,68.930000,54.362839,1554800
2011-02-15,68.720001,68.830002,68.540001,68.709999,54.189327,1598400
2011-02-16,68.959999,69.239998,68.830002,69.160004,54.544250,1925900
2011-02-17,68.959999,69.500000,68.930000,69.410004,54.741409,2054400
2011-02-18,69.500000,69.629997,69.260002,69.540001,54.843937,1761600
2011-02-22,68.779999,69.129997,67.860001,68.050003,53.668827,3178400
2011-02-23,67.980003,68.139999,67.029999,67.480003,53.219276,3430300
2011-02-24,67.349998,67.760002,66.820000,67.489998,53.227177,4472100
2011-02-25,67.820000,68.349998,67.699997,68.339996,53.897522,3642300
2011-02-28,68.650002,68.820000,68.300003,68.709999,54.189327,2694900
2011-03-01,68.940002,68.989998,67.529999,67.550003,53.274498,1429600
2011-03-02,67.480003,68.029999,67.370003,67.690002,53.384918,1592000
2011-03-03,68.360001,69.000000,68.320000,68.919998,54.354958,1299000
2011-03-04,68.940002,68.959999,68.019997,68.459999,53.992184,2721500
2011-03-07,68.699997,68.809998,67.459999,67.839996,53.503197,1562800
2011-03-08,67.959999,68.669998,67.620003,68.449997,53.984280,1123200
2011-03-09,68.360001,68.559998,67.959999,68.349998,53.905415,1566500
2011-03-10,67.650002,67.650002,66.980003,67.040001,52.872265,2239000
2011-03-11,66.709999,67.720001,66.709999,67.489998,53.227177,2148700
2011-03-14,67.070000,67.300003,66.550003,67.080002,52.903812,1622800
2011-03-15,65.290001,66.739998,65.160004,66.370003,52.343857,4776300
2011-03-16,66.150002,66.400002,64.750000,65.220001,51.436909,3839700
2011-03-17,66.139999,66.300003,65.639999,65.970001,52.028397,1712000
2011-03-18,66.790001,66.839996,66.110001,66.279999,52.272888,2604200
2011-03-21,67.000000,67.419998,67.000000,67.320000,53.093086,1679300
2011-03-22,67.349998,67.410004,67.010002,67.099998,52.919590,2036700
2011-03-23,66.919998,67.430000,66.550003,67.260002,53.045780,1666700
2011-03-24,67.660004,68.000000,67.230003,67.900002,53.550522,2419700
2011-03-25,67.830002,68.199997,67.660004,67.860001,53.742958,1956100
2011-03-28,68.029999,68.209999,67.690002,67.699997,53.616261,1739900
2011-03-29,67.720001,68.209999,67.419998,68.199997,54.012230,1354200
2011-03-30,68.580002,68.889999,68.459999,68.709999,54.416138,1276300
2011-03-31,68.699997,68.870003,68.589996,68.709999,54.416138,1298400
2011-04-01,69.180000,69.330002,68.860001,69.040001,54.677509,1707400
2011-04-04,69.150002,69.300003,68.910004,69.099998,54.725002,1091500
2011-04-05,69.010002,69.449997,68.970001,69.139999,54.756695,1317200
2011-04-06,69.470001,69.550003,69.040001,69.320000,54.899239,1396900
2011-04-07,69.199997,69.480003,68.800003,69.120003,54.740871,1506400
2011-04-08,69.389999,69.489998,68.529999,68.830002,54.511177,1389100
2011-04-11,68.919998,69.089996,68.379997,68.580002,54.313160,1138100
2011-04-12,68.150002,68.279999,67.750000,68.000000,53.853840,1699900
2011-04-13,68.320000,68.389999,67.769997,68.040001,53.885532,1521100
2011-04-14,67.639999,68.169998,67.410004,68.080002,53.917194,1434300
2011-04-15,68.230003,68.540001,68.010002,68.410004,54.178562,1376200
2011-04-18,67.610001,67.720001,67.070000,67.589996,53.529140,2323800
2011-04-19,67.750000,67.989998,67.540001,67.980003,53.838009,1048100
2011-04-20,68.830002,69.070000,68.769997,68.970001,54.622063,1324700
2011-04-21,69.250000,69.320000,69.000000,69.309998,54.891327,985400
2011-04-25,69.309998,69.360001,69.019997,69.239998,54.835892,886800
2011-04-26,69.500000,70.000000,69.400002,69.849998,55.318977,1400000
2011-04-27,70.000000,70.410004,69.709999,70.309998,55.683285,2148700
2011-04-28,70.260002,70.620003,70.199997,70.519997,55.849602,2221400
2011-04-29,70.580002,70.800003,70.459999,70.699997,55.992146,1713200
2011-05-02,71.040001,71.110001,70.430000,70.580002,55.897118,1506000
2011-05-03,70.430000,70.510002,69.820000,70.190002,55.588264,1150000
2011-05-04,70.180000,70.209999,69.349998,69.669998,55.176418,1715100
2011-05-05,69.269997,69.790001,68.800003,69.110001,54.732914,1500000
2011-05-06,69.790001,70.139999,69.139999,69.410004,54.970539,1709600
2011-05-09,69.500000,69.959999,69.370003,69.779999,55.263550,1165500
2011-05-10,70.019997,70.529999,69.959999,70.400002,55.754574,2353500
2011-05-11,70.349998,70.370003,69.349998,69.680000,55.184349,1841800
2011-05-12,69.470001,70.139999,69.070000,70.010002,55.445698,1859900
2011-05-13,70.059998,70.120003,69.180000,69.370003,54.938854,1906700
2011-05-16,69.089996,69.680000,68.800003,68.889999,54.558708,1654300
2011-05-17,68.559998,68.919998,68.269997,68.830002,54.511177,2058300
2011-05-18,68.879997,69.559998,68.730003,69.489998,55.033875,1430500
2011-05-19,69.750000,69.860001,69.269997,69.660004,55.168507,1343800
2011-05-20,69.459999,69.580002,68.949997,69.139999,54.756695,1274200
2011-05-23,68.250000,68.489998,68.059998,68.260002,54.059742,1400000
2011-05-24,68.470001,68.610001,68.050003,68.190002,54.004330,984700
2011-05-25,67.949997,68.750000,67.889999,68.470001,54.226070,1159000
2011-05-26,68.309998,68.989998,68.199997,68.879997,54.550781,1121100
2011-05-27,69.110001,69.370003,69.029999,69.199997,54.804203,937900
2011-05-31,69.879997,69.949997,69.360001,69.949997,55.398182,1606000
2011-06-01,69.769997,69.809998,68.300003,68.360001,54.138966,1760600
2011-06-02,68.370003,68.540001,67.860001,68.230003,54.036003,1726500
2011-06-03,67.430000,68.050003,67.360001,67.529999,53.481613,2139800
2011-06-06,67.360001,67.500000,66.660004,66.750000,52.863884,1893100
2011-06-07,67.040001,67.290001,66.699997,66.720001,52.840134,1369600
2011-06-08,66.610001,66.800003,66.269997,66.370003,52.562939,1482500
2011-06-09,66.559998,67.139999,66.379997,66.839996,52.935169,1047900
2011-06-10,66.580002,66.599998,65.730003,65.889999,52.182789,1743300
2011-06-13,66.010002,66.250000,65.550003,65.879997,52.174870,2814600
2011-06-14,66.510002,67.019997,66.480003,66.790001,52.895557,1577100
2011-06-15,66.250000,66.480003,65.430000,65.599998,51.953117,3630600
2011-06-16,65.620003,66.080002,65.180000,65.709999,52.040234,3040000
2011-06-17,66.360001,66.379997,65.690002,65.919998,52.206554,5544400
2011-06-20,65.720001,66.379997,65.669998,66.230003,52.452057,3463200
2011-06-21,66.570000,67.339996,66.510002,67.239998,53.251938,1916700
2011-06-22,67.080002,67.459999,66.839996,66.870003,52.958923,1946600
2011-06-23,66.059998,66.769997,65.599998,66.760002,52.871788,2929500
2011-06-24,66.500000,66.519997,65.629997,65.720001,52.269737,1942200
2011-06-27,65.750000,66.529999,65.610001,66.279999,52.715126,1569800
2011-06-28,66.570000,67.199997,66.470001,67.199997,53.446831,1814100
2011-06-29,67.449997,67.870003,67.220001,67.790001,53.916080,2576800
2011-06-30,67.980003,68.489998,67.900002,68.400002,54.401241,1973000
2011-07-01,68.430000,69.470001,68.279999,69.379997,55.180679,2021300
2011-07-05,69.349998,69.529999,69.160004,69.370003,55.172737,2259400
2011-07-06,69.209999,69.599998,69.029999,69.510002,55.284084,1753600
2011-07-07,70.150002,70.419998,69.989998,70.260002,55.880581,1558900
2011-07-08,69.500000,69.779999,69.209999,69.760002,55.482906,1598100
2011-07-11,68.879997,69.139999,68.290001,68.470001,54.456921,1961300
2011-07-12,68.239998,68.839996,68.099998,68.169998,54.218304,2108900
2011-07-13,68.519997,69.120003,68.250000,68.430000,54.425114,1904000
2011-07-14,68.589996,68.889999,67.720001,67.849998,53.963795,2059600
2011-07-15,68.169998,68.309998,67.769997,68.279999,54.305820,4489000
2011-07-18,67.970001,68.040001,67.139999,67.650002,53.804733,4783200
2011-07-19,68.029999,68.839996,68.029999,68.790001,54.711437,1841300
2011-07-20,68.980003,69.000000,68.580002,68.750000,54.679600,1390000
2011-07-21,69.080002,69.779999,68.959999,69.589996,55.347691,2111200
2011-07-22,69.599998,69.769997,69.250000,69.709999,55.443134,1162700
2011-07-25,69.000000,69.629997,68.910004,69.260002,55.085232,3126000
2011-07-26,69.220001,69.300003,68.820000,68.970001,54.854588,1500300
2011-07-27,68.559998,68.589996,67.379997,67.449997,53.645672,2134000
2011-07-28,67.430000,68.080002,67.139999,67.220001,53.462742,2786000
2011-07-29,66.570000,67.430000,66.220001,66.849998,53.168461,5091800
2011-08-01,67.660004,67.760002,65.930000,66.550003,52.929878,5148500
2011-08-02,66.120003,66.480003,64.790001,64.790001,51.530075,3528500
2011-08-03,64.839996,65.209999,63.669998,65.150002,51.816387,5828400
2011-08-04,64.260002,64.279999,61.840000,61.880001,49.215637,7792400
